date	mois	an	lieu	rr	etp	tempm	tempn	tempx
26/07/2011	juillet	2011	LEGTA	0	1.9	20.9	18.1	26.5
27/07/2011	juillet	2011	LEGTA	0	1.6	20.7	17.5	26.9
28/07/2011	juillet	2011	LEGTA	0	2.7	21.5	16.9	29
29/07/2011	juillet	2011	LEGTA	0	2.7	21.7	18.2	28.3
30/07/2011	juillet	2011	LEGTA	0	2.3	21.6	18.6	29.1
31/07/2011	juillet	2011	LEGTA	1.5	3	21.1	18	27.9
01/08/2011	août	2011	LEGTA	0	2.9	20.8	16.7	27.5
02/08/2011	août	2011	LEGTA	0	2.1	21.1	17.5	26.4
03/08/2011	août	2011	LEGTA	0	1.9	20	17	25.9
04/08/2011	août	2011	LEGTA	0	1.9	20.4	16.7	25.4
05/08/2011	août	2011	LEGTA	0	2.2	21.7	18.4	27
06/08/2011	août	2011	LEGTA	0	2.1	20.7	16.9	27
07/08/2011	août	2011	LEGTA	0	2	20.7	17.3	27.2
08/08/2011	août	2011	LEGTA	0	2.3	20.6	17.7	26.1
09/08/2011	août	2011	LEGTA	1	2.9	20.1	16.4	27.1
10/08/2011	août	2011	LEGTA	0.5	2.8	21.4	17.4	27.3
11/08/2011	août	2011	LEGTA	1	2.4	20.1	16.2	27.5
12/08/2011	août	2011	LEGTA	1	2.6	20.9	17.2	27.8
13/08/2011	août	2011	LEGTA	0	3.1	22.6	18.5	30
14/08/2011	août	2011	LEGTA	13	2.1	20.8	17.9	26.1
15/08/2011	août	2011	LEGTA	0	2.9	21.5	16.9	27.7
16/08/2011	août	2011	LEGTA	0.5	2.6	21.4	18	28.1
17/08/2011	août	2011	LEGTA	0	2	20.9	17.6	28.1
18/08/2011	août	2011	LEGTA	0	2.8	21.4	16.9	27.6
19/08/2011	août	2011	LEGTA	0	2.9	21.8	17.4	28.8
20/08/2011	août	2011	LEGTA	0	3.4	22.3	17.4	28.1
21/08/2011	août	2011	LEGTA	2	2.5	21.1	19.3	27.8
22/08/2011	août	2011	LEGTA	4	2.1	19.9	17.1	27
23/08/2011	août	2011	LEGTA	0	3	20.5	16.9	26.8
24/08/2011	août	2011	LEGTA	0	1.8	20.4	16.6	26.6
25/08/2011	août	2011	LEGTA	0	1.8	20.1	16.9	25.6
26/08/2011	août	2011	LEGTA	0	2.3	20.3	17.1	25.5
27/08/2011	août	2011	LEGTA	0	1.9	20.8	17.3	25.9
28/08/2011	août	2011	LEGTA	0	2	20.2	16.4	26.2
29/08/2011	août	2011	LEGTA	0	2	20.7	16.8	26
30/08/2011	août	2011	LEGTA	0	2.5	20.9	16.9	27.1
31/08/2011	août	2011	LEGTA	0	2.8	20.8	16.4	27
01/09/2011	septembre	2011	LEGTA	0	2.5	20.9	16.3	26.7
02/09/2011	septembre	2011	LEGTA	0	3.4	21.2	17.1	27.7
03/09/2011	septembre	2011	LEGTA	0	3.7	22.2	17.4	28.2
04/09/2011	septembre	2011	LEGTA	0	1.9	21.6	17.9	27.2
05/09/2011	septembre	2011	LEGTA	0	2.4	21.7	18	27.5
06/09/2011	septembre	2011	LEGTA	0	3.9	22.1	17.3	28.8
07/09/2011	septembre	2011	LEGTA	0	2.9	21.2	17.8	27.7
08/09/2011	septembre	2011	LEGTA	0	3.3	21.1	17.3	27.8
09/09/2011	septembre	2011	LEGTA	0	2.1	20.4	16.6	25.2
10/09/2011	septembre	2011	LEGTA	0	1.9	20.3	16.5	25.4
11/09/2011	septembre	2011	LEGTA	0	2.5	21.1	17	26.3
12/09/2011	septembre	2011	LEGTA	0	2.7	21	17.3	26.1
13/09/2011	septembre	2011	LEGTA	0	3.2	20.8	16.9	27.5
14/09/2011	septembre	2011	LEGTA	0	4.2	21.7	17.1	27.7
15/09/2011	septembre	2011	LEGTA	0	4.2	22.1	17.1	29.3
16/09/2011	septembre	2011	LEGTA	0	4.2	21.9	17.1	29.2
17/09/2011	septembre	2011	LEGTA	6	3	21.3	17.8	27.9
18/09/2011	septembre	2011	LEGTA	0	3.2	21.4	16.9	27.4
19/09/2011	septembre	2011	LEGTA	0	4.5	21.2	16.8	28.2
20/09/2011	septembre	2011	LEGTA	0	4	22	16.7	28.1
21/09/2011	septembre	2011	LEGTA	0	3.6	23	18.7	30
22/09/2011	septembre	2011	LEGTA	0	1.6	21.6	18.3	26.4
23/09/2011	septembre	2011	LEGTA	0	2.3	21.6	17.2	27.4
24/09/2011	septembre	2011	LEGTA	0	3.2	22.2	17.2	28.5
25/09/2011	septembre	2011	LEGTA	0.5	2.2	21.3	17.6	27.2
26/09/2011	septembre	2011	LEGTA	0	2.4	21.5	18	26.6
27/09/2011	septembre	2011	LEGTA	0	2.5	21.8	19.3	28.2
28/09/2011	septembre	2011	LEGTA	0	1.7	20.8	16.8	26.1
29/09/2011	septembre	2011	LEGTA	0	2.3	20.8	16.7	27.2
30/09/2011	septembre	2011	LEGTA	0	4.2	22.3	17.9	28.3
01/10/2011	octobre	2011	LEGTA	0	2.4	21.4	18.2	29.2
02/10/2011	octobre	2011	LEGTA	0	2.1	21.3	17.5	26.4
03/10/2011	octobre	2011	LEGTA	0	4.4	22.6	16.9	28.1
04/10/2011	octobre	2011	LEGTA	0	2.6	22.9	18.8	28.6
05/10/2011	octobre	2011	LEGTA	0	3.9	22.7	18	28.7
06/10/2011	octobre	2011	LEGTA	0.5	4.1	22.7	17.9	29
07/10/2011	octobre	2011	LEGTA	0	2.3	22	18.4	27.8
08/10/2011	octobre	2011	LEGTA	0	3.2	21.1	17.4	27
09/10/2011	octobre	2011	LEGTA	0	2.7	21.4	17	26.6
10/10/2011	octobre	2011	LEGTA	0	3.9	22	17.4	27.9
11/10/2011	octobre	2011	LEGTA	0	2.9	21.8	17.3	27.9
12/10/2011	octobre	2011	LEGTA	0	3.2	22.1	17.5	27.8
13/10/2011	octobre	2011	LEGTA	0	1.6	21.9	18.9	26.9
14/10/2011	octobre	2011	LEGTA	0	2.3	21.6	18.8	26.1
15/10/2011	octobre	2011	LEGTA	0	2.9	21.7	17.4	28.5
16/10/2011	octobre	2011	LEGTA	0	2.5	21.6	17.8	27.5
17/10/2011	octobre	2011	LEGTA	0	4.7	22.6	17.6	29.4
18/10/2011	octobre	2011	LEGTA	0	4.4	23.6	18.3	30.8
19/10/2011	octobre	2011	LEGTA	2.5	3.1	23	19.8	29.1
20/10/2011	octobre	2011	LEGTA	0	2.5	22.7	18.9	28.1
21/10/2011	octobre	2011	LEGTA	0.5	2	22.2	18.7	28.2
22/10/2011	octobre	2011	LEGTA	0	2.7	21.9	18.8	28.2
23/10/2011	octobre	2011	LEGTA	0	2.5	21.8	17.9	27
24/10/2011	octobre	2011	LEGTA	0	4.6	22.7	17.9	29
25/10/2011	octobre	2011	LEGTA	0	4.5	24.3	19.3	30.8
