Date	Piege	Nbad	Bourgeons	FlorC	FlorD	FlorE	FlorF	FlorG	VegC	VegD	VegE	VegF	VegG
19/07/2012	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19/07/2012	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19/07/2012	C3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23/07/2012	A1	0	NA	0	0	0	0	0	0	0	0	0	0
23/07/2012	B1	0	NA	0	0	0	0	0	0	0	0	0	0
23/07/2012	C1	0	NA	0	0	0	0	0	0	0	0	0	0
23/07/2012	A2	NA	NA	0	0	0	0	0	0	0	0	10	0
23/07/2012	B2	14	NA	0	0	0	150	0	0	0	0	0	0
23/07/2012	C2	1	NA	0	0	0	0	0	0	0	0	0	0
23/07/2012	A3	0	NA	0	10	0	0	0	0	0	0	0	0
23/07/2012	B3	0	NA	0	10	0	150	0	0	0	0	0	0
23/07/2012	C3	0	NA	0	0	0	0	0	0	0	0	0	0
26/07/2012	A1	0	NA	0	0	0	0	0	0	0	0	0	0
26/07/2012	B1	0	NA	0	0	0	0	0	0	0	0	0	0
26/07/2012	C1	0	NA	0	0	0	0	0	0	0	0	0	0
26/07/2012	A2	7	NA	0	0	0	0	0	0	0	0	0	0
26/07/2012	B2	10	NA	0	0	0	150	0	0	0	0	0	0
26/07/2012	C2	0	NA	0	0	0	0	0	0	0	0	0	0
26/07/2012	A3	0	NA	0	10	0	0	0	0	0	0	0	0
26/07/2012	B3	1	NA	0	10	0	150	0	0	0	0	0	0
26/07/2012	C3	0	NA	0	0	0	0	0	0	0	0	0	0
30/07/2012	A1	0	NA	0	0	0	0	0	0	0	0	0	0
30/07/2012	B1	0	NA	0	0	0	0	0	0	0	0	0	0
30/07/2012	C1	0	NA	0	0	0	0	0	0	0	0	0	0
30/07/2012	A2	2	NA	0	0	0	0	0	0	0	0	0	0
30/07/2012	B2	9	NA	0	0	0	150	0	0	0	0	0	0
30/07/2012	C2	0	NA	0	0	5	0	0	0	0	0	0	0
30/07/2012	A3	2	NA	0	0	100	0	0	0	0	0	0	0
30/07/2012	B3	0	NA	0	0	0	75	75	0	0	0	0	0
30/07/2012	C3	0	NA	0	0	0	0	0	0	0	0	0	0
02/08/2012	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
02/08/2012	B1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
02/08/2012	C1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
02/08/2012	A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
02/08/2012	B2	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
02/08/2012	C2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
02/08/2012	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
02/08/2012	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
02/08/2012	C3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
06/08/2012	A1	0	NA	0	0	0	0	0	0	0	0	0	0
06/08/2012	B1	0	NA	0	0	0	0	0	0	0	0	0	0
06/08/2012	C1	0	NA	0	0	0	0	0	0	0	0	0	0
06/08/2012	A2	4	NA	0	0	0	0	0	0	0	0	0	10
06/08/2012	B2	8	NA	0	0	0	0	150	0	0	0	0	0
06/08/2012	C2	0	NA	0	20	0	0	0	0	0	0	0	0
06/08/2012	A3	0	NA	0	100	100	0	0	0	0	0	0	0
06/08/2012	B3	0	NA	0	0	0	0	150	0	0	0	0	0
06/08/2012	C3	0	NA	0	0	0	0	0	0	0	0	0	0
09/08/2012	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
09/08/2012	B1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
09/08/2012	C1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
09/08/2012	A2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
09/08/2012	B2	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
09/08/2012	C2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
09/08/2012	A3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
09/08/2012	B3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
09/08/2012	C3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13/08/2012	A1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13/08/2012	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13/08/2012	C1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13/08/2012	A2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13/08/2012	B2	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13/08/2012	C2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13/08/2012	A3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13/08/2012	B3	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13/08/2012	C3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
