Date;Arbre;Piege;NbInfloPiege;NbLarves;Observations
07/09/2018;36PS;A;3;0;Inflos tombées
07/09/2018;36PS;B;3;2;Inflos tombées
07/09/2018;12EH;A;5;0;
07/09/2018;12EH;B;2;0;
07/09/2018;22EH;A;4;0;
07/09/2018;22EH;B;3;0;
07/09/2018;23EH;A;5;0;
07/09/2018;23EH;B;4;0;
07/09/2018;24EH;A;3;0;
07/09/2018;24EH;B;4;4;
07/09/2018;34EH;A;5;1;
07/09/2018;34EH;B;3;1;
07/09/2018;35EH;A;3;0;
07/09/2018;35EH;B;5;3;
07/09/2018;38EH;A;2;0;
07/09/2018;38EH;B;2;0;Inflos tombées
07/09/2018;41EH;A;4;0;
07/09/2018;41EH;B;2;0;
07/09/2018;45EH;A;1;0;
07/09/2018;45EH;B;1;0;
07/09/2018;47EH;A;3;0;
07/09/2018;47EH;B;2;0;
11/09/2018;9ER;A;3;0;Inflos tombées
11/09/2018;9ER;B;5;0;
11/09/2018;11ER;A;4;0;
11/09/2018;11ER;B;3;0;
11/09/2018;13ER;A;3;0;
11/09/2018;13ER;B;5;0;
11/09/2018;16ER;A;3;0;Inflos tombées
11/09/2018;16ER;B;7;0;Visibilité réduite (fleurs) + Inflos tombées
11/09/2018;20ER;A;1;0;Inflos tombées
11/09/2018;20ER;B;3;0;Visibilité réduite (fleurs) + Inflos tombées
11/09/2018;23ER;A;3;0;Inflos tombées
11/09/2018;23ER;B;2;0;
11/09/2018;24ER;A;0;0;Visibilité réduite (fleurs) + Inflos tombées
11/09/2018;24ER;B;2;0;Visibilité réduite (fleurs) + Inflos tombées
11/09/2018;25ER;A;3;0;Inflos tombées
11/09/2018;25ER;B;2;0;Visibilité réduite (fleurs) + Inflos tombées
11/09/2018;34ER;A;0;0;
11/09/2018;34ER;B;0;0;
11/09/2018;39ER;A;2;0;Inflos tombées
11/09/2018;39ER;B;5;0;
11/09/2018;8PS;A;2;0;
11/09/2018;8PS;B;3;0;
11/09/2018;10PS;A;4;0;Visibilité réduite (fleurs) + Inflos tombées
11/09/2018;10PS;B;3;0;Visibilité réduite (fleurs) + Inflos tombées
11/09/2018;11PS;A;1;0;Visibilité réduite (fleurs) + Inflos tombées
11/09/2018;11PS;B;4;0;
